Title,Channel,Url,ID,duration,Status
Chopin - Nocturne op.9 No.2,andrea romano,https://www.youtube.com/watch?v=9E6b3swbnWg&list=PLJQ7Cd2Dugbt9g0XUq4AVT78uE6lqIMbY&index=26,9E6b3swbnWg,0:4:30,Found
[Deleted video],,https://www.youtube.com/watch?v=45lNvNsdPLc&list=PLJQ7Cd2Dugbt9g0XUq4AVT78uE6lqIMbY&index=27,45lNvNsdPLc,,Deleted
4 Beautiful Soundtracks | Relaxing Piano [10min],Jacob's Piano,https://www.youtube.com/watch?v=t_Kd_G7p6ZQ&list=PLJQ7Cd2Dugbt9g0XUq4AVT78uE6lqIMbY&index=28,t_Kd_G7p6ZQ,0:10:13,Found
Symphony No. 9 ~ Beethoven,Evan Bennet,https://www.youtube.com/watch?v=t3217H8JppI&list=PLJQ7Cd2Dugbt9g0XUq4AVT78uE6lqIMbY&index=29&t=2s,t3217H8JppI,1:5:39,Found
Emmanuel - Toots Thielemans ( M. Colombier ),baroqer2010,https://www.youtube.com/watch?v=l1EpYC-6nyY&list=PLJQ7Cd2Dugbt9g0XUq4AVT78uE6lqIMbY&index=30&t=10s,l1EpYC-6nyY,0:3:9,Found
Debussy - Clair de Lune,Rousseau,https://www.youtube.com/watch?v=WNcsUNKlAKw&list=PLJQ7Cd2Dugbt9g0XUq4AVT78uE6lqIMbY&index=31,WNcsUNKlAKw,0:5:14,Found
30 Most Famous Classical Piano Pieces,HALIDONMUSIC,https://www.youtube.com/watch?v=I0kVNMHo6fQ&list=PLJQ7Cd2Dugbt9g0XUq4AVT78uE6lqIMbY&index=32&t=187s,I0kVNMHo6fQ,2:11:40,Found
10 SUPER FAMOUS Classical Piano Pieces,Sheet Music Boss,https://www.youtube.com/watch?v=YMpWE_YuQpk&list=PLJQ7Cd2Dugbt9g0XUq4AVT78uE6lqIMbY&index=33,YMpWE_YuQpk,0:3:47,Found
"The Best of Classical Piano: Chopin, Mozart, Beethoven, Debussy...",HALIDONMUSIC,https://www.youtube.com/watch?v=DCd3JbzhTx0&list=PLJQ7Cd2Dugbt9g0XUq4AVT78uE6lqIMbY&index=34,DCd3JbzhTx0,10:57:23,Found
Flight Of The Bumblebee - Rimsky-Korsakov,TheWickedNorth,https://www.youtube.com/watch?v=aYAJopwEYv8&list=PLJQ7Cd2Dugbt9g0XUq4AVT78uE6lqIMbY&index=35,aYAJopwEYv8,0:3:26,Found
Beethoven: Complete Piano Sonatas,Brilliant Classics,https://www.youtube.com/watch?v=G7sDg8_26N8&list=PLJQ7Cd2Dugbt9g0XUq4AVT78uE6lqIMbY&index=36&t=190s,G7sDg8_26N8,10:15:33,Found
Mozart: Complete Piano Sonatas,Brilliant Classics,https://www.youtube.com/watch?v=Wcgd1oCbW4g&list=PLJQ7Cd2Dugbt9g0XUq4AVT78uE6lqIMbY&index=37,Wcgd1oCbW4g,5:4:48,Found
Tchaikovsky - 1812 Overture (Full with Cannons),avrilfan2213,https://www.youtube.com/watch?v=VbxgYlcNxE8&list=PLJQ7Cd2Dugbt9g0XUq4AVT78uE6lqIMbY&index=38,VbxgYlcNxE8,0:15:9,Found
Top 50 Best Classical Violin Music,Brilliant Classics,https://www.youtube.com/watch?v=L5skSFHVJHk&list=PLJQ7Cd2Dugbt9g0XUq4AVT78uE6lqIMbY&index=39&t=154s,L5skSFHVJHk,2:47:58,Found
Beethoven - Moonlight Sonata (Full),Rousseau,https://www.youtube.com/watch?v=4591dCHe_sE&list=PLJQ7Cd2Dugbt9g0XUq4AVT78uE6lqIMbY&index=40,4591dCHe_sE,0:17:26,Found
The Best of Shostakovich,Classical Music11,https://www.youtube.com/watch?v=Ki6HXhtB7ug&list=PLJQ7Cd2Dugbt9g0XUq4AVT78uE6lqIMbY&index=41&t=48s,Ki6HXhtB7ug,3:29:30,Found
The Most Insane Piano Pieces (Vol.  2),Rousseau,https://www.youtube.com/watch?v=TbOZXL8Vz4w&list=PLJQ7Cd2Dugbt9g0XUq4AVT78uE6lqIMbY&index=42,TbOZXL8Vz4w,0:24:39,Found
Top 100 Best Classical Piano Music,Brilliant Classics,https://www.youtube.com/watch?v=gLyIuAFUXyY&list=PLJQ7Cd2Dugbt9g0XUq4AVT78uE6lqIMbY&index=43,gLyIuAFUXyY,0:24:39,Found
